Beam_Name,Applied Force Vertical,Applied Force Horizontal,Length,Gamma_M,Steel Class
,,,,,
300  x  100 x 6.3,81,5,4,1.15,355
,,,,,
500  x  300 x 8,70,7,13,1.15,355
,,,,,
400  x  400 x 6,4,15,21,1.15,355
,,,,,
400  x  400 x 10,87,86,11,1.15,355
,,,,,
300  x  300 x 8,39,88,6,1.15,355
,,,,,
350  x  350 x 6.3,37,38,11,1.15,355
,,,,,
100  x  100 x 4,6,63,1,1.15,355
,,,,,
200  x  200 x 10,21,66,4,1.15,355
,,,,,
500  x  200 x 14.2,92,14,13,1.15,355
,,,,,
500  x  300 x 12.5,69,34,15,1.15,355
,,,,,
200  x  200 x 5,42,24,4,1.15,355
,,,,,
500  x  300 x 12.5,35,7,22,1.15,355
,,,,,
400  x  400 x 6,58,54,10,1.15,355
,,,,,
500  x  300 x 10,28,7,22,1.15,355
,,,,,
500  x  300 x 14.2,88,35,15,1.15,355
,,,,,
400  x  400 x 10,22,69,12,1.15,355
,,,,,
400  x  400 x 6.3,21,17,18,1.15,355
,,,,,
400  x  400 x 12,82,65,12,1.15,355
,,,,,
400  x  400 x 8,78,84,10,1.15,355
,,,,,
400  x  400 x 6,47,63,10,1.15,355
,,,,,
450  x  250 x 8,95,32,9,1.15,355
,,,,,
400  x  300 x 17.5,26,15,23,1.15,355
,,,,,
400  x  400 x 8,39,26,14,1.15,355
,,,,,
200  x  200 x 6,49,82,3,1.15,355
,,,,,
400  x  400 x 10,25,14,20,1.15,355
,,,,,
250  x  250 x 6,22,79,4,1.15,355
,,,,,
400  x  400 x 6,5,80,9,1.15,355
,,,,,
200  x  200 x 8,73,100,3,1.15,355
,,,,,
400  x  400 x 6.3,58,53,11,1.15,355
,,,,,
350  x  350 x 6,27,78,7,1.15,355
,,,,,
100  x  100 x 3,23,42,1,1.15,355
,,,,,
350  x  350 x 6,74,73,7,1.15,355
,,,,,
250  x  150 x 6.3,35,19,5,1.15,355
,,,,,
400  x  400 x 12,76,89,11,1.15,355
,,,,,
500  x  200 x 8,46,11,14,1.15,355
,,,,,
350  x  350 x 6,7,4,24,1.15,355
,,,,,
400  x  400 x 6,20,21,17,1.15,355
,,,,,
120  x  120 x 5,10,29,2,1.15,355
,,,,,
300  x  300 x 6,70,30,6,1.15,355
,,,,,
200  x  200 x 10,22,67,4,1.15,355
,,,,,
300  x  300 x 6,14,53,7,1.15,355
,,,,,
400  x  200 x 8,64,14,9,1.15,355
,,,,,
120  x  120 x 3,55,65,1,1.15,355
,,,,,
160  x  160 x 6,18,24,4,1.15,355
,,,,,
200  x  200 x 8,47,99,3,1.15,355
,,,,,
400  x  400 x 12,12,19,25,1.15,355
,,,,,
400  x  400 x 8,69,73,10,1.15,355
,,,,,
400  x  300 x 14.2,98,47,11,1.15,355
,,,,,
140  x  140 x 4,20,41,2,1.15,355
,,,,,
350  x  150 x 8,89,19,6,1.15,355
,,,,,
350  x  250 x 6.3,55,13,8,1.15,355
,,,,,
500  x  300 x 17.5,53,24,21,1.15,355
,,,,,
300  x  300 x 8,18,69,7,1.15,355
,,,,,
500  x  300 x 17.5,93,36,16,1.15,355
,,,,,
450  x  250 x 10,89,29,10,1.15,355
,,,,,
300  x  200 x 6.3,44,3,7,1.15,355
,,,,,
350  x  250 x 6.3,56,26,8,1.15,355
,,,,,
400  x  400 x 12.5,32,21,20,1.15,355
,,,,,
350  x  350 x 8,33,37,12,1.15,355
,,,,,
400  x  400 x 8,3,43,14,1.15,355
,,,,,
140  x  140 x 4,38,32,2,1.15,355
,,,,,
450  x  250 x 10,31,1,18,1.15,355
,,,,,
80  x  40 x 3.2,15,4,1,1.15,355
,,,,,
400  x  400 x 12,63,73,13,1.15,355
,,,,,
400  x  400 x 8,37,68,11,1.15,355
,,,,,
450  x  250 x 8,55,7,12,1.15,355
,,,,,
400  x  200 x 6.3,32,10,11,1.15,355
,,,,,
400  x  300 x 17.5,68,46,14,1.15,355
,,,,,
350  x  350 x 8,37,59,9,1.15,355
,,,,,
350  x  350 x 8,66,50,9,1.15,355
,,,,,
400  x  400 x 6,29,17,15,1.15,355
,,,,,
300  x  300 x 8,58,62,7,1.15,355
,,,,,
400  x  200 x 8,84,19,8,1.15,355
,,,,,
200  x  200 x 6,42,86,3,1.15,355
,,,,,
160  x  160 x 4,61,62,2,1.15,355
,,,,,
400  x  400 x 6,17,53,11,1.15,355
,,,,,
300  x  300 x 6,14,12,14,1.15,355
,,,,,
200  x  200 x 6.3,10,7,9,1.15,355
,,,,,
250  x  100 x 5,28,1,5,1.15,355
,,,,,
400  x  400 x 6.3,58,84,9,1.15,355
,,,,,
350  x  350 x 8,65,61,9,1.15,355
,,,,,
350  x  350 x 8,29,64,9,1.15,355
,,,,,
250  x  250 x 6,1,13,10,1.15,355
,,,,,
300  x  300 x 6.3,80,3,6,1.15,355
,,,,,
350  x  350 x 8,50,25,10,1.15,355
,,,,,
300  x  300 x 6,20,88,5,1.15,355
,,,,,
200  x  200 x 5,16,72,3,1.15,355
,,,,,
300  x  300 x 8,52,94,6,1.15,355
,,,,,
500  x  200 x 10,93,2,11,1.15,355
,,,,,
400  x  400 x 10,56,76,11,1.15,355
,,,,,
300  x  300 x 6,63,27,6,1.15,355
,,,,,
500  x  300 x 8,99,16,11,1.15,355
,,,,,
350  x  350 x 8,5,34,13,1.15,355
,,,,,
250  x  250 x 8,12,16,11,1.15,355
,,,,,
350  x  250 x 6.3,95,54,6,1.15,355
,,,,,
400  x  400 x 8,36,69,11,1.15,355
,,,,,
160  x  80 x 5,49,2,2,1.15,355
,,,,,
400  x  400 x 12,20,65,13,1.15,355
,,,,,
400  x  400 x 10,31,22,17,1.15,355
,,,,,
250  x  100 x 5,29,4,5,1.15,355
,,,,,
400  x  400 x 10,85,59,11,1.15,355
,,,,,
500  x  300 x 12.5,62,23,16,1.15,355
,,,,,
500  x  300 x 12.5,29,9,24,1.15,355
,,,,,
120  x  120 x 3,70,82,1,1.15,355
,,,,,
250  x  250 x 8,10,75,5,1.15,355
,,,,,
400  x  400 x 6.3,70,36,10,1.15,355
,,,,,
400  x  400 x 6,77,18,9,1.15,355
,,,,,
300  x  300 x 8,50,41,8,1.15,355
,,,,,
140  x  140 x 4,30,41,2,1.15,355
,,,,,
250  x  250 x 6,1,81,4,1.15,355
,,,,,
400  x  400 x 8,9,20,20,1.15,355
,,,,,
120  x  120 x 4,12,99,1,1.15,355
,,,,,
350  x  350 x 8,51,95,7,1.15,355
,,,,,
400  x  400 x 10,12,36,16,1.15,355
,,,,,
180  x  180 x 6,7,21,5,1.15,355
,,,,,
400  x  400 x 8,4,33,15,1.15,355
,,,,,
350  x  150 x 6.3,46,11,7,1.15,355
,,,,,
400  x  400 x 8,38,54,12,1.15,355
,,,,,
500  x  300 x 12.5,65,23,16,1.15,355
,,,,,
500  x  300 x 14.2,32,7,25,1.15,355
,,,,,
250  x  150 x 6.3,26,12,6,1.15,355
,,,,,
350  x  350 x 8,56,64,9,1.15,355
,,,,,
250  x  250 x 6,20,24,8,1.15,355
,,,,,
300  x  300 x 8,48,88,6,1.15,355
,,,,,
150  x  100 x 5,48,26,2,1.15,355
,,,,,
400  x  400 x 10,20,73,11,1.15,355
,,,,,
500  x  300 x 17.5,65,33,18,1.15,355
,,,,,
300  x  300 x 6,58,90,5,1.15,355
,,,,,
200  x  200 x 5,44,72,3,1.15,355
,,,,,
350  x  350 x 6,9,49,9,1.15,355
,,,,,
350  x  250 x 6.3,99,13,6,1.15,355
,,,,,
350  x  250 x 6.3,34,19,10,1.15,355
,,,,,
500  x  200 x 10,53,2,14,1.15,355
,,,,,
250  x  250 x 8,75,71,5,1.15,355
,,,,,
350  x  350 x 6,51,84,7,1.15,355
,,,,,
500  x  200 x 17.5,39,1,22,1.15,355
,,,,,
350  x  350 x 8,1,62,9,1.15,355
,,,,,
400  x  400 x 12,9,31,20,1.15,355
,,,,,
300  x  300 x 8,12,40,9,1.15,355
,,,,,
300  x  200 x 6.3,85,33,5,1.15,355
,,,,,
400  x  200 x 8,66,13,9,1.15,355
,,,,,
160  x  160 x 6,94,97,2,1.15,355
,,,,,
300  x  300 x 8,5,43,9,1.15,355
,,,,,
300  x  300 x 8,19,26,11,1.15,355
,,,,,
500  x  200 x 8,89,13,10,1.15,355
,,,,,
160  x  160 x  5,4,72,2,1.15,355
,,,,,
400  x  400 x 12,11,95,11,1.15,355
,,,,,
120  x  120 x 4,40,91,1,1.15,355
,,,,,
300  x  200 x 6.3,72,36,5,1.15,355
,,,,,
100  x  100 x 4,50,63,1,1.15,355
,,,,,
180  x  180 x 5,47,43,3,1.15,355
,,,,,
200  x  200 x 8,5,53,4,1.15,355
,,,,,
400  x  400 x 8,69,34,11,1.15,355
,,,,,
300  x  300 x 6,52,60,6,1.15,355
,,,,,
350  x  350 x 6,49,32,9,1.15,355
,,,,,
500  x  300 x 16,61,44,15,1.15,355
,,,,,
160  x  160 x 6,15,94,2,1.15,355
,,,,,
200  x  200 x 8,61,61,4,1.15,355
,,,,,
300  x  300 x 6,58,56,6,1.15,355
,,,,,
400  x  400 x 6,7,100,8,1.15,355
,,,,,
300  x  300 x 6.3,13,45,8,1.15,355
,,,,,
350  x  350 x 6,86,62,7,1.15,355
,,,,,
400  x  300 x 17.5,95,50,12,1.15,355
,,,,,
160  x  160 x 6,91,95,2,1.15,355
,,,,,
100  x  100 x 3,44,42,1,1.15,355
,,,,,
400  x  400 x 8,49,79,10,1.15,355
,,,,,
200  x  120 x 5,16,6,5,1.15,355
,,,,,
120  x  120 x 3,16,14,2,1.15,355
,,,,,
500  x  200 x 8,90,7,10,1.15,355
,,,,,
500  x  200 x 8,50,3,13,1.15,355
,,,,,
300  x  300 x 8,94,96,6,1.15,355
,,,,,
350  x  350 x 8,17,78,8,1.15,355
,,,,,
400  x  400 x 8,17,94,9,1.15,355
,,,,,
400  x  400 x 12,26,32,19,1.15,355
,,,,,
200  x  200 x 6,7,15,7,1.15,355
,,,,,
200  x  120 x 5,98,41,2,1.15,355
,,,,,
500  x  300 x 16,55,40,16,1.15,355
,,,,,
200  x  100 x 4,84,29,2,1.15,355
,,,,,
500  x  300 x 14.2,66,6,17,1.15,355
,,,,,
200  x  120 x 5,45,17,3,1.15,355
,,,,,
350  x  350 x 6,80,100,6,1.15,355
,,,,,
400  x  400 x 6,73,1,9,1.15,355
,,,,,
120  x  120 x 4,91,59,1,1.15,355
,,,,,
400  x  400 x 12,5,56,14,1.15,355
,,,,,
160  x  160 x 4,29,15,3,1.15,355
,,,,,
400  x  400 x 12,79,72,12,1.15,355
,,,,,
400  x  400 x 8,5,22,18,1.15,355
,,,,,
300  x  300 x 6,73,56,6,1.15,355
,,,,,
500  x  300 x 8,97,38,11,1.15,355
,,,,,
200  x  200 x 6,47,77,3,1.15,355
,,,,,
400  x  400 x 12.5,13,57,15,1.15,355
,,,,,
200  x  200 x 6.3,50,47,4,1.15,355
,,,,,
350  x  350 x 8,63,50,9,1.15,355
,,,,,
300  x  300 x 6,46,100,5,1.15,355
,,,,,
500  x  300 x 17.5,55,3,21,1.15,355
,,,,,
350  x  350 x 8,6,97,7,1.15,355
,,,,,
500  x  300 x 10,39,14,18,1.15,355
,,,,,
300  x  300 x 6,41,58,6,1.15,355
,,,,,
100  x  60 x 3.2,28,13,1,1.15,355
,,,,,
350  x  150 x 6.3,98,10,5,1.15,355
,,,,,
500  x  200 x 8,89,6,10,1.15,355
,,,,,
400  x  400 x 12,67,47,13,1.15,355
,,,,,
500  x  300 x 10,57,21,15,1.15,355
,,,,,
350  x  350 x 8,69,70,9,1.15,355
,,,,,
400  x  400 x 8,53,43,12,1.15,355
,,,,,
500  x  300 x 17.5,46,18,23,1.15,355
,,,,,
350  x  350 x 6,13,49,9,1.15,355
,,,,,
180  x  180 x 6,36,59,3,1.15,355
,,,,,
200  x  200 x 6.3,11,51,4,1.15,355
,,,,,
180  x  180 x 5,15,25,4,1.15,355
,,,,,
400  x  400 x 6,96,82,8,1.15,355
,,,,,
400  x  400 x 6,30,33,14,1.15,355
,,,,,
300  x  300 x 8,36,46,8,1.15,355
,,,,,
350  x  250 x 6.3,10,6,17,1.15,355
,,,,,
160  x  160 x 6,17,96,2,1.15,355
,,,,,
250  x  250 x 8,2,4,22,1.15,355
,,,,,
300  x  300 x 6,70,36,6,1.15,355
,,,,,
400  x  400 x 12,31,34,19,1.15,355
,,,,,
120  x  120 x 3,74,64,1,1.15,355
,,,,,
200  x  200 x 8,63,96,3,1.15,355
,,,,,
400  x  400 x 6,9,58,10,1.15,355
,,,,,
300  x  300 x 6,98,75,5,1.15,355
,,,,,
500  x  200 x 12.5,98,22,12,1.15,355
,,,,,
400  x  400 x 10,63,89,10,1.15,355
,,,,,
350  x  350 x 6,17,7,15,1.15,355
,,,,,
500  x  300 x 16,57,1,20,1.15,355
,,,,,
350  x  350 x 6.3,14,2,18,1.15,355
,,,,,
500  x  200 x 17.5,94,4,14,1.15,355
,,,,,
500  x  300 x 8,66,30,13,1.15,355
,,,,,
400  x  400 x 6,65,50,10,1.15,355
,,,,,
350  x  350 x 8,57,10,10,1.15,355
,,,,,
400  x  400 x 12.5,2,75,13,1.15,355
,,,,,
400  x  400 x 10,59,67,12,1.15,355
,,,,,
400  x  400 x 8,21,75,10,1.15,355
,,,,,
350  x  350 x 8,4,35,12,1.15,355
,,,,,
200  x  200 x 10,58,72,4,1.15,355
,,,,,
400  x  200 x 8,51,16,10,1.15,355
,,,,,
250  x  250 x 6,20,48,5,1.15,355
,,,,,
350  x  350 x 8,8,99,7,1.15,355
,,,,,
180  x  180 x 6,33,59,3,1.15,355
,,,,,
250  x  250 x 8,80,67,5,1.15,355
,,,,,
500  x  300 x 14.2,80,30,16,1.15,355
,,,,,
500  x  300 x 16,75,40,16,1.15,355
,,,,,
250  x  250 x 6,44,54,5,1.15,355
,,,,,
450  x  250 x 10,71,27,12,1.15,355
,,,,,
400  x  200 x 8,52,6,10,1.15,355
,,,,,
200  x  200 x 6,86,58,3,1.15,355
,,,,,
300  x  300 x 8,53,73,7,1.15,355
,,,,,
200  x  150  x 5,34,14,4,1.15,355
,,,,,
400  x  400 x 10,68,53,12,1.15,355
,,,,,
200  x  200 x 8,76,96,3,1.15,355
,,,,,
160  x  160 x 4,28,26,3,1.15,355
,,,,,
500  x  300 x 12.5,78,19,15,1.15,355
,,,,,
500  x  200 x 10,57,13,14,1.15,355
,,,,,
250  x  250 x 6.3,28,45,6,1.15,355
,,,,,
350  x  350 x 8,32,82,8,1.15,355
,,,,,
200  x  200 x 5,71,72,3,1.15,355
,,,,,
500  x  300 x 8,95,41,11,1.15,355
,,,,,
450  x  250 x 16,79,26,14,1.15,355
,,,,,
300  x  200 x 5,39,23,6,1.15,355
,,,,,
500  x  300 x 8,93,40,11,1.15,355
,,,,,
350  x  350 x 8,45,75,8,1.15,355
,,,,,
500  x  200 x 8,60,2,12,1.15,355
,,,,,
300  x  100 x 6.3,80,11,4,1.15,355
,,,,,
150  x  150 x 4,51,35,2,1.15,355
,,,,,
250  x  250 x 8,48,74,5,1.15,355
,,,,,
500  x  300 x 12.5,68,10,16,1.15,355
,,,,,
400  x  400 x 10,96,56,10,1.15,355
,,,,,
300  x  300 x 6,27,77,6,1.15,355
,,,,,
100  x  100 x 3,21,46,1,1.15,355
,,,,,
160  x  160 x  5,15,18,4,1.15,355
,,,,,
300  x  300 x 6,5,5,23,1.15,355
,,,,,
250  x  150 x 8,74,25,4,1.15,355
,,,,,
500  x  300 x 12.5,62,15,17,1.15,355
,,,,,
400  x  400 x 6,50,49,11,1.15,355
,,,,,
250  x  250 x 6,5,38,6,1.15,355
,,,,,
160  x  160 x 6,42,35,3,1.15,355
,,,,,
400  x  400 x 8,43,91,9,1.15,355
,,,,,
500  x  300 x 14.2,92,55,13,1.15,355
,,,,,
500  x  300 x 12.5,54,18,17,1.15,355
,,,,,
200  x  100 x 5,98,24,2,1.15,355
,,,,,
300  x  300 x 6,38,26,8,1.15,355
,,,,,
250  x  250 x 6,54,76,4,1.15,355
,,,,,
500  x  300 x 16,96,48,14,1.15,355
,,,,,
450  x  250 x 8,96,36,9,1.15,355
,,,,,
350  x  350 x 8,52,66,9,1.15,355
,,,,,
300  x  100 x 5,66,2,4,1.15,355
,,,,,
160  x  160 x 6,56,88,2,1.15,355
,,,,,
160  x  80 x 4,41,1,2,1.15,355
,,,,,
300  x  300 x 8,4,6,23,1.15,355
,,,,,
400  x  300 x 14.2,93,62,11,1.15,355
,,,,,
400  x  400 x 8,78,66,10,1.15,355
,,,,,
400  x  200 x 8,60,4,9,1.15,355
,,,,,
400  x  400 x 12,35,67,13,1.15,355
,,,,,
450  x  250 x 8,98,27,9,1.15,355
,,,,,
450  x  250 x 8,25,8,18,1.15,355
,,,,,
300  x  200 x 5,78,59,4,1.15,355
,,,,,
350  x  350 x 6,56,45,8,1.15,355
,,,,,
350  x  350 x 8,23,34,13,1.15,355
,,,,,
250  x  250 x 6,69,83,4,1.15,355
,,,,,
400  x  400 x 10,74,81,11,1.15,355
,,,,,
250  x  250 x 6,6,18,9,1.15,355
,,,,,
250  x  250 x 8,4,10,13,1.15,355
,,,,,
250  x  150 x 5,95,7,3,1.15,355
,,,,,
400  x  400 x 10,66,54,12,1.15,355
,,,,,
180  x  180 x 5,26,16,4,1.15,355
,,,,,
200  x  200 x 10,15,32,6,1.15,355
,,,,,
250  x  150 x 5,86,26,3,1.15,355
,,,,,
400  x  400 x 12,90,70,11,1.15,355
,,,,,
400  x  400 x 10,95,68,10,1.15,355
,,,,,
450  x  250 x 8,16,4,22,1.15,355
,,,,,
500  x  300 x 8,59,25,13,1.15,355
,,,,,
250  x  150 x 5,23,3,6,1.15,355
,,,,,
250  x  250 x 8,68,57,5,1.15,355
,,,,,
350  x  350 x 8,55,35,10,1.15,355
,,,,,
350  x  350 x 6,15,31,11,1.15,355
,,,,,
250  x  250 x 6,11,92,4,1.15,355
,,,,,
120  x  60 x 3.6,56,17,1,1.15,355
,,,,,
500  x  300 x 12.5,51,18,18,1.15,355
,,,,,
500  x  300 x 17.5,92,16,16,1.15,355
,,,,,
180  x  180 x 5,26,18,4,1.15,355
,,,,,
350  x  350 x 8,6,38,12,1.15,355
,,,,,
400  x  200 x 8,24,5,14,1.15,355
,,,,,
250  x  250 x 8,10,75,5,1.15,355
,,,,,
400  x  400 x 8,60,30,12,1.15,355
,,,,,
300  x  300 x 8,16,65,7,1.15,355
,,,,,
350  x  350 x 6,91,49,7,1.15,355
,,,,,
250  x  250 x 8,31,23,8,1.15,355
,,,,,
160  x  160 x  5,44,75,2,1.15,355
,,,,,
300  x  300 x 8,55,49,8,1.15,355
,,,,,
400  x  200 x 6.3,41,8,10,1.15,355
,,,,,
450  x  250 x 10,82,20,11,1.15,355
,,,,,
160  x  80 x 5,48,9,2,1.15,355
,,,,,
500  x  300 x 8,43,14,16,1.15,355
,,,,,
200  x  200 x 6,14,43,4,1.15,355
,,,,,
400  x  400 x 12.5,1,56,15,1.15,355
,,,,,
350  x  150 x 5,41,10,7,1.15,355
,,,,,
400  x  400 x 12,17,38,18,1.15,355
,,,,,
400  x  400 x 12,10,96,11,1.15,355
,,,,,
100  x  100 x 3,46,16,1,1.15,355
,,,,,
300  x  300 x 8,22,34,10,1.15,355
,,,,,
300  x  300 x 8,8,17,14,1.15,355
,,,,,
350  x  350 x 6,91,25,7,1.15,355
,,,,,
400  x  400 x 10,36,47,14,1.15,355
,,,,,
400  x  400 x 10,41,28,15,1.15,355
,,,,,
400  x  400 x 8,25,79,10,1.15,355
,,,,,
450  x  250 x 8,75,33,10,1.15,355
,,,,,
450  x  250 x 10,90,34,10,1.15,355
,,,,,
400  x  400 x 12,12,33,19,1.15,355
,,,,,
300  x  300 x 8,17,30,10,1.15,355
,,,,,
500  x  200 x 17.5,64,4,17,1.15,355
,,,,,
180  x  180 x 5,13,30,4,1.15,355
,,,,,
500  x  300 x 12.5,74,29,15,1.15,355
,,,,,
350  x  350 x 8,67,65,9,1.15,355
,,,,,
300  x  300 x 6,67,61,6,1.15,355
,,,,,
400  x  400 x 12,92,77,11,1.15,355
,,,,,
400  x  400 x 6,82,71,9,1.15,355
,,,,,
180  x  180 x 6,60,52,3,1.15,355
,,,,,
400  x  200 x 6.3,59,20,8,1.15,355
,,,,,
250  x  250 x 6,56,81,4,1.15,355
,,,,,
90  x  90 x 5,13,6,2,1.15,355
,,,,,
250  x  250 x 8,43,74,5,1.15,355
,,,,,
250  x  150 x 5,99,43,3,1.15,355
,,,,,
180  x  180 x 5,48,98,2,1.15,355
,,,,,
500  x  200 x 14.2,69,3,15,1.15,355
,,,,,
450  x  250 x 8,84,15,10,1.15,355
,,,,,
160  x  160 x  5,2,79,2,1.15,355
,,,,,
300  x  300 x 6,52,26,7,1.15,355
,,,,,
450  x  250 x 8,15,6,23,1.15,355
,,,,,
200  x  100 x 4,77,11,2,1.15,355
,,,,,
450  x  250 x 8,94,19,9,1.15,355
,,,,,
350  x  350 x 8,71,44,9,1.15,355
,,,,,
300  x  200 x 6.3,86,1,5,1.15,355
,,,,,
160  x  160 x 4,4,4,8,1.15,355
,,,,,
300  x  300 x 8,51,69,7,1.15,355
,,,,,
200  x  200 x 6,19,30,5,1.15,355
,,,,,
500  x  300 x 12.5,99,33,13,1.15,355
,,,,,
500  x  200 x 12.5,27,3,22,1.15,355
,,,,,
250  x  150 x 5,33,3,5,1.15,355
,,,,,
350  x  150 x 6.3,62,3,6,1.15,355
,,,,,
400  x  400 x 12,71,67,13,1.15,355
,,,,,
100  x  100 x 3,46,15,1,1.15,355
,,,,,
400  x  400 x 10,76,83,11,1.15,355
,,,,,
400  x  400 x 6,20,29,15,1.15,355
,,,,,
400  x  400 x 10,61,57,13,1.15,355
,,,,,
100  x  100 x 4,57,36,1,1.15,355
,,,,,
400  x  400 x 6,99,64,8,1.15,355
,,,,,
250  x  150 x 5,97,29,3,1.15,355
,,,,,
350  x  350 x 8,10,65,9,1.15,355
,,,,,
160  x  160 x 6,46,96,2,1.15,355
,,,,,
400  x  400 x 8,74,51,10,1.15,355
,,,,,
350  x  350 x 6,19,27,12,1.15,355
,,,,,
400  x  400 x 10,68,42,12,1.15,355
,,,,,
350  x  250 x 6.3,94,10,6,1.15,355
,,,,,
200  x  200 x 8,18,54,4,1.15,355
,,,,,
120  x  120 x 4,96,87,1,1.15,355
,,,,,
500  x  300 x 8,52,23,14,1.15,355
,,,,,
500  x  300 x 16,92,27,15,1.15,355
,,,,,
180  x  180 x 5,54,20,3,1.15,355
,,,,,
250  x  150 x 5,51,23,4,1.15,355
,,,,,
300  x  300 x 6,8,9,15,1.15,355
,,,,,
450  x  250 x 8,90,24,9,1.15,355
,,,,,
500  x  300 x 17.5,37,6,25,1.15,355
,,,,,
350  x  350 x 6,66,35,8,1.15,355
,,,,,
500  x  300 x 12.5,89,22,14,1.15,355
,,,,,
350  x  350 x 6,40,34,10,1.15,355
,,,,,
300  x  300 x 6,8,5,16,1.15,355
,,,,,
250  x  250 x 6,28,87,4,1.15,355
,,,,,
400  x  400 x 8,3,34,16,1.15,355
,,,,,
500  x  300 x 17.5,95,56,14,1.15,355
,,,,,
500  x  300 x 10,46,8,18,1.15,355
,,,,,
400  x  400 x 8,19,53,12,1.15,355
,,,,,
350  x  350 x 6.3,38,17,11,1.15,355
,,,,,
350  x  350 x 8,89,18,8,1.15,355
,,,,,
80  x  80 x 3.5,25,27,1,1.15,355
,,,,,
200  x  100 x 5,99,23,2,1.15,355
,,,,,
200  x  200 x 5,33,37,4,1.15,355
,,,,,
500  x  300 x 10,24,8,24,1.15,355
,,,,,
500  x  300 x 8,33,7,19,1.15,355
,,,,,
100  x  100 x 3,30,43,1,1.15,355
,,,,,
250  x  250 x 6,14,28,7,1.15,355
,,,,,
350  x  150 x 6.3,35,6,8,1.15,355
,,,,,
200  x  200 x 5,20,72,3,1.15,355
,,,,,
350  x  350 x 6,17,62,8,1.15,355
,,,,,
400  x  400 x 10,40,90,10,1.15,355
,,,,,
160  x  160 x  5,35,33,3,1.15,355
,,,,,
90  x  90 x 5,52,45,1,1.15,355
,,,,,
300  x  200 x 5,89,52,4,1.15,355
,,,,,
300  x  100 x 6.3,83,5,4,1.15,355
,,,,,
350  x  350 x 8,25,41,11,1.15,355
,,,,,
500  x  200 x 17.5,96,17,14,1.15,355
,,,,,
400  x  400 x 6,74,51,9,1.15,355
,,,,,
500  x  200 x 17.5,33,7,24,1.15,355
,,,,,
500  x  300 x 10,36,18,19,1.15,355
,,,,,
180  x  180 x 5,26,47,3,1.15,355
,,,,,
400  x  400 x 6,33,11,14,1.15,355
,,,,,
350  x  350 x 6.3,16,8,17,1.15,355
,,,,,
500  x  200 x 8,74,3,11,1.15,355
,,,,,
250  x  250 x 6,4,15,10,1.15,355
,,,,,
400  x  400 x 10,7,45,15,1.15,355
,,,,,
350  x  350 x 6.3,12,14,18,1.15,355
,,,,,
140  x  140 x 4,10,6,4,1.15,355
,,,,,
500  x  300 x 10,87,26,13,1.15,355
,,,,,
350  x  350 x 6,14,49,9,1.15,355
,,,,,
250  x  250 x 6,24,25,7,1.15,355
,,,,,
180  x  180 x 6,2,21,5,1.15,355
,,,,,
250  x  250 x 6,10,36,6,1.15,355
,,,,,
300  x  300 x 6,65,83,5,1.15,355
,,,,,
400  x  400 x 8,59,55,11,1.15,355
,,,,,
300  x  300 x 6,29,15,9,1.15,355
,,,,,
160  x  80 x 6.3,58,3,2,1.15,355
,,,,,
400  x  200 x 6.3,86,3,7,1.15,355
,,,,,
400  x  400 x 12,46,95,11,1.15,355
,,,,,
200  x  200 x 6,52,77,3,1.15,355
,,,,,
140  x  140 x 4,7,10,4,1.15,355
,,,,,
70  x  70 x 3.5,18,13,1,1.15,355
,,,,,
90  x  90 x 3,32,27,1,1.15,355
,,,,,
300  x  300 x 6,74,8,6,1.15,355
,,,,,
300  x  200 x 6.3,69,41,5,1.15,355
,,,,,
250  x  250 x 6,29,75,4,1.15,355
,,,,,
400  x  400 x 10,81,59,11,1.15,355
,,,,,
300  x  300 x 6,76,54,6,1.15,355
,,,,,
160  x  160 x 6,85,91,2,1.15,355
,,,,,
180  x  180 x 10,8,52,4,1.15,355
,,,,,
200  x  120 x 6.3,23,1,5,1.15,355
,,,,,
250  x  250 x 6,13,16,9,1.15,355
,,,,,
450  x  250 x 10,98,31,10,1.15,355
,,,,,
400  x  400 x 6,73,20,9,1.15,355
,,,,,
350  x  350 x 8,96,72,7,1.15,355
,,,,,
400  x  400 x 12,82,62,12,1.15,355
,,,,,
350  x  350 x 8,65,37,9,1.15,355
,,,,,
160  x  160 x 4,13,63,2,1.15,355
,,,,,
400  x  200 x 8,40,12,11,1.15,355
,,,,,
300  x  100 x 6.3,82,8,4,1.15,355
,,,,,
400  x  400 x 6,100,53,8,1.15,355
,,,,,
200  x  200 x 8,99,69,3,1.15,355
,,,,,
400  x  400 x 6,48,26,11,1.15,355
,,,,,
500  x  300 x 8,52,23,14,1.15,355
,,,,,
350  x  350 x 8,23,74,8,1.15,355
,,,,,
300  x  300 x 8,70,97,6,1.15,355
,,,,,
400  x  400 x 10,62,49,13,1.15,355
,,,,,
400  x  400 x 12,16,79,12,1.15,355
,,,,,
200  x  150  x 5,61,9,3,1.15,355
,,,,,
350  x  250 x 6.3,61,26,7,1.15,355
,,,,,
300  x  100 x 6.3,39,6,6,1.15,355
,,,,,
400  x  400 x 6.3,58,16,11,1.15,355
,,,,,
400  x  400 x 8,76,79,10,1.15,355
,,,,,
500  x  300 x 12.5,47,5,19,1.15,355
,,,,,
400  x  400 x 8,1,73,10,1.15,355
,,,,,
120  x  80 x 5,90,33,1,1.15,355
,,,,,
400  x  400 x 6,35,25,13,1.15,355
,,,,,
